,Date,Open,High,Low,Close,Vol.,Change %,tr1,tr2,tr3,tr,atr,close_std,atr_std
0,2020-01-02,170.54,171.42,170.19,171.26,509.18K,0.45%,1.2299999999999898,,,1.2299999999999898,,,
1,2020-01-03,171.1,172.38,171.1,172.12,528.22K,0.50%,1.2800000000000011,1.1200000000000045,0.1599999999999966,1.2800000000000011,,,
2,2020-01-06,172.45,172.6,172.07,172.24,496.41K,0.07%,0.5300000000000011,0.47999999999998977,0.05000000000001137,0.5300000000000011,,,
3,2020-01-07,172.21,172.31,171.91,172.12,582.59K,-0.07%,0.4000000000000057,0.06999999999999318,0.3300000000000125,0.4000000000000057,,,
4,2020-01-08,172.5,173.22,171.26,171.78,825.68K,-0.20%,1.960000000000008,1.0999999999999943,0.8600000000000136,1.960000000000008,,,
5,2020-01-09,171.31,171.51,171.01,171.14,732.94K,-0.37%,0.5,0.27000000000001023,0.7700000000000102,0.7700000000000102,,,
6,2020-01-10,171.31,171.43,170.85,171.35,555.74K,0.12%,0.5800000000000125,0.29000000000002046,0.28999999999999204,0.5800000000000125,,,
7,2020-01-13,171.36,171.43,170.71,170.76,611.44K,-0.34%,0.7199999999999989,0.0800000000000125,0.6399999999999864,0.7199999999999989,,,
8,2020-01-14,170.74,171.08,170.65,171.01,694.22K,0.15%,0.4300000000000068,0.3200000000000216,0.10999999999998522,0.4300000000000068,,,
9,2020-01-15,171.05,171.72,171.01,171.46,672.85K,0.26%,0.710000000000008,0.710000000000008,0.0,0.710000000000008,,,
10,2020-01-16,171.62,171.8,171.35,171.72,637.67K,0.15%,0.45000000000001705,0.3400000000000034,0.11000000000001364,0.45000000000001705,,,
11,2020-01-17,171.66,171.82,171.46,171.61,484.60K,-0.06%,0.3599999999999852,0.09999999999999432,0.2599999999999909,0.3599999999999852,,,
12,2020-01-20,171.76,171.76,171.52,171.67,233.91K,0.03%,0.23999999999998067,0.14999999999997726,0.09000000000000341,0.23999999999998067,,,
13,2020-01-21,171.75,172.27,171.55,172.21,752.51K,0.31%,0.7199999999999989,0.6000000000000227,0.11999999999997613,0.7199999999999989,0.05295918367346951,0.46716175987565406,
14,2020-01-22,172.04,172.5,171.91,172.33,584.94K,0.07%,0.5900000000000034,0.28999999999999204,0.30000000000001137,0.5900000000000034,0.0496938775510206,0.4934182186153569,
15,2020-01-23,172.41,173.09,172.35,173.03,765.00K,0.41%,0.7400000000000091,0.7599999999999909,0.01999999999998181,0.7599999999999909,0.047040816326530746,0.6034994104898159,
16,2020-01-24,172.82,173.54,172.6,173.28,812.60K,0.14%,0.9399999999999977,0.5099999999999909,0.4300000000000068,0.9399999999999977,0.049132653061224614,0.7215737532080128,
17,2020-01-27,173.75,174.27,173.41,174.23,892.31K,0.55%,0.8600000000000136,0.9900000000000091,0.12999999999999545,0.9900000000000091,0.05214285714285728,0.9676219859492236,
18,2020-01-28,174.11,174.48,173.48,173.68,885.02K,-0.32%,1.0,0.25,0.75,1.0,0.047244897959183775,1.0670571629537964,
19,2020-01-29,173.66,174.28,173.41,174.06,628.56K,0.22%,0.8700000000000045,0.5999999999999943,0.27000000000001023,0.8700000000000045,0.0477551020408164,1.1462159434465273,
20,2020-01-30,174.23,174.65,174.23,174.57,761.98K,0.29%,0.4200000000000159,0.5900000000000034,0.1699999999999875,0.5900000000000034,0.04780612244897962,1.2556745921291534,
21,2020-01-31,174.29,175.3,174.16,175.04,763.63K,0.27%,1.1400000000000148,0.7300000000000182,0.4099999999999966,1.1400000000000148,0.04994897959183684,1.307781444925856,
22,2020-02-03,175.1,175.14,174.62,174.88,692.50K,-0.09%,0.5199999999999818,0.09999999999999432,0.4199999999999875,0.5199999999999818,0.0504081632653061,1.2979072335160382,
23,2020-02-04,175.06,175.07,174.25,174.53,837.83K,-0.20%,0.8199999999999932,0.18999999999999773,0.6299999999999955,0.8199999999999932,0.050969387755101944,1.2532770231291195,
24,2020-02-05,174.33,174.63,173.65,173.92,947.84K,-0.35%,0.9799999999999898,0.09999999999999432,0.8799999999999955,0.9799999999999898,0.053673469387754864,1.1688352425281856,
25,2020-02-06,173.71,173.96,173.42,173.82,762.86K,-0.06%,0.5400000000000205,0.040000000000020464,0.5,0.5400000000000205,0.05459183673469382,1.0351177137498868,
26,2020-02-07,173.87,174.42,173.84,174.18,725.07K,0.21%,0.5799999999999841,0.5999999999999943,0.020000000000010232,0.5999999999999943,0.05642857142857144,0.8676138807983452,0.0029162030877946513
27,2020-02-10,174.33,174.69,174.01,174.57,500.71K,0.22%,0.6800000000000068,0.5099999999999909,0.17000000000001592,0.6800000000000068,0.056224489795918424,0.7475072126522689,0.003225040476906778
